,AAPL,AAPL,AAPL,AAPL,AAPL,GE,GE,GE,GE,GE,KO,KO,KO,KO,KO,NFLX,NFLX,NFLX,NFLX,NFLX,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-23 00:00:00-05:00,161.12,161.8,159.0601,161.42,85191018,101.78,102.21,101.15,102.08,5568872,55.66,56.1064,55.5,55.88,10296804,658.11,666.43,646.05,654.0,2000072,1167.51,1180.4999,1062.7,1108.81,34397054
2021-11-24 00:00:00-05:00,160.75,162.14,159.64,161.94,61311962,102.05,102.315,101.31,102.27,4134897,55.75,55.835,55.03,55.43,10692105,657.84,661.44,651.1,658.19,1627030,1080.39,1132.77,1062.0,1115.85,20960960
2021-11-26 00:00:00-05:00,159.565,160.45,156.36,156.88,63333097,97.0,98.1,95.51,97.77,7790657,54.57,54.75,53.58,53.77,12769724,675.15,676.405,660.67,665.6,2443953,1099.44,1108.7827,1081.0,1081.79,10205161
2021-11-29 00:00:00-05:00,159.37,161.19,158.7901,160.23,76825307,99.27,100.43,96.83,98.35,7973905,54.045,54.73,53.93,54.57,16265567,664.41,667.99,658.29,663.68,2134362,1100.79,1142.67,1100.19,1136.98,17659389
